epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,952.257,2.51877,3.19008,2.82337,0.34117,0.34823,0.26896,0.09004,1.71863,3.32208,1.72549,0.000555322,0.000555322,0.000555322
2,1873.61,2.00685,2.36257,2.12638,0.41526,0.38599,0.3592,0.15398,1.4884,2.32313,1.50793,0.00110798,0.00110798,0.00110798
3,2788.08,1.88094,2.18928,2.00589,0.44268,0.40831,0.37558,0.16861,1.45693,1.98437,1.44364,0.00164863,0.00164863,0.00164863
4,3700.97,1.82513,2.10129,1.9428,0.51781,0.46039,0.46017,0.21048,1.41535,1.868,1.41661,0.00162661,0.00162661,0.00162661
5,4611.76,1.77089,1.99865,1.89338,0.56158,0.48681,0.50069,0.23531,1.34117,1.63279,1.34418,0.00159566,0.00159566,0.00159566
6,5522.6,1.71849,1.87834,1.84845,0.58567,0.49811,0.52347,0.24124,1.32913,1.59765,1.35181,0.00155645,0.00155645,0.00155645
7,6433.22,1.7045,1.80753,1.82248,0.58431,0.52381,0.54729,0.27041,1.2973,1.51273,1.29542,0.00150941,0.00150941,0.00150941
8,7343.91,1.67335,1.75654,1.78538,0.61911,0.53689,0.57436,0.28154,1.30372,1.40788,1.29129,0.00145505,0.00145505,0.00145505
9,8254.61,1.63985,1.72225,1.77326,0.64351,0.53495,0.59658,0.30322,1.25499,1.42295,1.28042,0.00139398,0.00139398,0.00139398
10,9164.63,1.62519,1.67541,1.75374,0.64445,0.54833,0.59262,0.29862,1.25147,1.25821,1.2679,0.00132685,0.00132685,0.00132685
11,10074.3,1.59391,1.66014,1.72644,0.67359,0.5774,0.62996,0.32504,1.24124,1.29076,1.24997,0.00125442,0.00125442,0.00125442
12,10984.6,1.56883,1.61966,1.69968,0.66574,0.5753,0.63132,0.3293,1.23041,1.19618,1.23493,0.00117746,0.00117746,0.00117746
13,11896.8,1.54127,1.53242,1.67707,0.68558,0.59021,0.64865,0.33526,1.22648,1.27368,1.24203,0.00109683,0.00109683,0.00109683
14,12809,1.5516,1.53733,1.692,0.68048,0.5927,0.64639,0.33875,1.22518,1.15848,1.21827,0.0010134,0.0010134,0.0010134
15,13721.2,1.52903,1.47842,1.66699,0.67746,0.59531,0.65477,0.34857,1.20653,1.10072,1.21142,0.000928088,0.000928088,0.000928088
16,14633.2,1.50756,1.47433,1.63611,0.70383,0.60301,0.66681,0.35069,1.21188,1.08839,1.21836,0.000841835,0.000841835,0.000841835
17,15544.7,1.48519,1.40542,1.6365,0.69737,0.61041,0.6665,0.36267,1.18561,1.12486,1.19992,0.000755582,0.000755582,0.000755582
18,16457.9,1.47198,1.36573,1.62326,0.72043,0.62265,0.68986,0.37253,1.19677,1.07029,1.20192,0.000670274,0.000670274,0.000670274
19,17372.3,1.43754,1.35819,1.59835,0.71274,0.61757,0.68543,0.37054,1.18715,1.05188,1.1964,0.000586845,0.000586845,0.000586845
20,18285.6,1.42703,1.32958,1.59012,0.73192,0.63439,0.69978,0.38447,1.1751,1.07462,1.18979,0.00050621,0.00050621,0.00050621
21,19198.5,1.41705,1.13833,1.49133,0.72358,0.62488,0.69015,0.37701,1.18169,1.00037,1.19615,0.000429253,0.000429253,0.000429253
22,20108.8,1.37867,1.09262,1.45645,0.74582,0.6141,0.68992,0.37914,1.177,0.99428,1.19167,0.000356815,0.000356815,0.000356815
23,21019.3,1.3767,1.10101,1.46892,0.73321,0.61919,0.69367,0.38357,1.16469,0.98487,1.18166,0.000289692,0.000289692,0.000289692
24,21929.9,1.36134,1.06245,1.45373,0.71667,0.62784,0.69376,0.3849,1.16855,0.97694,1.18422,0.000228618,0.000228618,0.000228618
25,22841.1,1.35229,1.04533,1.42629,0.7333,0.62834,0.70032,0.38812,1.17026,0.93643,1.18673,0.000174262,0.000174262,0.000174262
26,23753.8,1.30846,1.01929,1.42343,0.72519,0.63247,0.70019,0.38876,1.17,0.94938,1.18419,0.000127221,0.000127221,0.000127221
27,24665,1.32018,1.01503,1.40933,0.73104,0.63019,0.70315,0.39312,1.16892,0.94751,1.18644,8.80093e-05,8.80093e-05,8.80093e-05
28,25576.3,1.29886,0.98229,1.39778,0.73174,0.63314,0.70272,0.39423,1.16568,0.93895,1.18282,5.70564e-05,5.70564e-05,5.70564e-05
29,26487.9,1.26248,0.96667,1.36222,0.72632,0.63677,0.70344,0.39419,1.16164,0.93089,1.18301,3.47018e-05,3.47018e-05,3.47018e-05
30,27401.1,1.28889,0.97083,1.38873,0.73636,0.63473,0.70508,0.39485,1.16357,0.92982,1.18296,2.11903e-05,2.11903e-05,2.11903e-05
